title;de;price;image_url;affiliate_url
Ofertas 8.8 - Aproveite os cupons!;0;0;https://m.media-amazon.com/images/G/32/br-events/2026/8do8/DO/Headers/VD62_Ofertas88_HeaderAproveite_1500x150.jpg;https://link.amazon/A0cz3E8Dl
"Fritadeira Air Fry Oven BFR2100P, Britânia, 220v";714;"437,89";https://m.media-amazon.com/images/I/518sbXviNwL._AC_SX522_.jpg;https://link.amazon/B0hglbdY4
"Liquidificador, Ph900, 3L, Preto, 220V, Philco";229;"99,89";https://m.media-amazon.com/images/I/51UcFkAcKDL._AC_SL1200_.jpg;https://link.amazon/B0evKWc4u
Smart TV 4K 50" LG QNED73 Portal de Games Processador AI 伪7 Gen8 4K Super Upscaling Google Cast Integrado Controle AI Magic WebOS 25 Modo Esportes Alerta de Esportes;3399;"2259,9";https://m.media-amazon.com/images/I/51r3x45AtGL._AC_SY355_.jpg;https://link.amazon/B0cRzi80c
Aspirador Pó Philco Vertical Power Clean 2000W PAS4000V 127V;"434,9";"179,9";https://m.media-amazon.com/images/I/41El3TMO04L._AC_SX466_.jpg;https://link.amazon/B09yQiLVo
Air Fryer Philco 4L Revestimento Redstone 1500W PAF40A 220V;357;"209,89";https://m.media-amazon.com/images/I/51TMCXmRIdL._AC_SY450_.jpg;https://link.amazon/B0bxW5HKH
Geladeira Consul 2 Portas 377 Litros Frost Free - com Tecnologia Inverter e Função Turbo Branca - CRM44MB;2899;"2321,1";https://m.media-amazon.com/images/I/31ImtF2paeL._AC_SX342_.jpg;https://link.amazon/B04kJjZyA
Smart TV 40" Philco Roku TV HDR10 Dolby Áudio P40CRA;1499;"1217,47";https://m.media-amazon.com/images/I/81tK4J0OG-L._AC_SX522_.jpg;https://link.amazon/B01glOqbP
"Celular Samsung Galaxy A57 5G 128GB, 8GB RAM, Câmera Tripla de até 50MP OIS, Selfie de 12MP Video HDR, IP68, Tela Super AMOLED 6.7"", NFC, Recursos AI, Até 6 Atualizações de Android e Segurança (Lilás)";3599;"1799,1";https://m.media-amazon.com/images/I/51VZg1VWMlL._AC_SX679_.jpg;https://link.amazon/B0cLFYprt
"Aparador de Pelos Philips All-in-One 9 em 1 Série 3000 | Máquina para Rosto, Cabelo e Corpo | Barbeador Elétrico Multigroom | MG3927/15";"249,9";"138,96";https://m.media-amazon.com/images/I/71oDl7NmgaL._AC_SY450_.jpg;https://link.amazon/B0hX1wABB
"Samsung Galaxy Watch Ultra 2025 Smartwatch 47mm LTE, Galaxy AI, Titânio Aeroespacial, Titânio Cinza";4999;1899;https://m.media-amazon.com/images/I/61bz7kdgBzL._AC_SX679_.jpg;https://link.amazon/B0hjdJEg0
Sanduicheira Elétrica Cadence Click - 127V;"159,9";"80,7";https://m.media-amazon.com/images/I/51UxR8FHe-L._AC_SX522_.jpg;https://link.amazon/B04wRCc9c
"Celular Samsung Galaxy S25+ 5G, 256GB, 12GB RAM, Câmera Tripla de 50+12+10, Tela Grande de 6.7"", Azul";7999;4499;https://m.media-amazon.com/images/I/617jYhiUgCL._AC_SX522_.jpg;https://link.amazon/B0ccTKHTY
"Multiprocessador, Pmp1600p, 1700W, Preto, 127v, Philco";547;"293,54";https://m.media-amazon.com/images/I/51pDaHGEVGL._AC_SX425_.jpg;https://link.amazon/B05IBH8k8
"Oster Cafeteira Oster com Jarra Inox 1,2L, OCAF650, 127V";"249,9";"146,05";https://m.media-amazon.com/images/I/51vVvDVetDL._AC_SY450_.jpg;https://link.amazon/B09bhvRhA
Fralda Descartável Huggies Máxima Proteção Tamanho G 160 unidades;"229,9";"159,9";https://m.media-amazon.com/images/I/81fNk6kKaoL._AC_SX425_.jpg;https://link.amazon/B010gmsvV
Smartphone Motorola Moto g35 5G - 128GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.7" com Superbrilho - Verde;1499;849;https://m.media-amazon.com/images/I/61pGaBV+-AL._AC_SX522_.jpg;https://link.amazon/B08PIFQjN
Processador AMD Ryzen 5 5500;"1166,64";509;https://m.media-amazon.com/images/I/51So7GoGvxL._AC_SX679_.jpg;https://link.amazon/B00krjB7P
"Personal VIP - Papel Higiênico Folha Dupla, Branco 24 unidades";"46,01";"34,27";https://m.media-amazon.com/images/I/81hFxU8EMjL._AC_SX679_.jpg;https://link.amazon/B02KWun7V
"Oster OFRT520 - Fritadeira Sem 脫leo, 220V";330;"283,1";https://m.media-amazon.com/images/I/51nlF3BHjaL._AC_SY450_.jpg;https://link.amazon/B0bUF9MsB
Forno Elétrico Philco PFE44P Dupla Resistência 44L 220V;"411,34";"350,5";https://m.media-amazon.com/images/I/61MlNqHVL4L._AC_SX522_.jpg;https://link.amazon/B0bs7gGH0
Headset Gamer Redragon Zeus Lite Preto P3 H510-LT;"249,9";"145,27";https://m.media-amazon.com/images/I/61pvhJpLRRL._AC_SY355_.jpg;https://link.amazon/B06812KJ4
Monitor Gamer Samsung Odyssey G5 32;1599;"1079,1";https://m.media-amazon.com/images/I/616NYrEQ6QL._AC_SY355_.jpg;https://link.amazon/B0gX2v2wj
